,address,district,area,bedrooms,garage,type,rent,total,price_per_m2,valor_estimado_area,location,coordinates
6000,Rua da Economia,Vila Matilde,60,2,1,Apartamento,2200,2284,6154,369240,"Rua da Economia, Vila Matilde, São Paulo, SP","(-23.5411477, -46.5177903)"
6001,Rua Evans,Vila Matilde,55,2,0,Apartamento,1800,2019,6154,338470,"Rua Evans, Vila Matilde, São Paulo, SP",
6002,"R. Evans, São Paulo - Sp, 03648-020, Brasil",Vila Matilde,54,2,0,Apartamento,1800,2019,6154,332316,"R. Evans, São Paulo - Sp, 03648-020, Brasil, Vila Matilde, São Paulo, SP",
6003,"R. Evans, São Paulo - Sp, 03648-020, Brasil",Vila Matilde,39,1,0,Apartamento,1800,2019,6154,240006,"R. Evans, São Paulo - Sp, 03648-020, Brasil, Vila Matilde, São Paulo, SP",
6004,Rua Cachoeiro de Itapemirim,Vila Matilde,43,2,1,Apartamento,2125,2427,6154,264622,"Rua Cachoeiro de Itapemirim, Vila Matilde, São Paulo, SP","(-23.5318286, -46.5087584)"
6005,Rua Engenheiro André Paulo,Vila Matilde,35,2,0,Apartamento,1232,1407,6154,215390,"Rua Engenheiro André Paulo, Vila Matilde, São Paulo, SP","(-23.5402771, -46.5237746)"
6051,Rua George Smith,Lapa,55,2,1,Apartamento,3200,3932,8980,493900,"Rua George Smith, Lapa, São Paulo, SP","(-23.5178689, -46.7042944)"
6052,Rua Ribeiro de Barros,Lapa,64,2,1,Apartamento,3450,4554,8980,574720,"Rua Ribeiro de Barros, Lapa, São Paulo, SP","(-23.5284836, -46.6906018)"
6053,Rua Luís Martins,Lapa,60,2,1,Apartamento,3000,4097,8980,538800,"Rua Luís Martins, Lapa, São Paulo, SP","(-23.5277807, -46.7059438)"
6054,Rua Clélia,Lapa,100,3,1,Apartamento,2652,3914,8980,898000,"Rua Clélia, Lapa, São Paulo, SP","(-23.5250217, -46.6862483)"
6055,Rua Diogo Ortiz,Lapa,140,2,2,Casa,3200,3420,8980,1257200,"Rua Diogo Ortiz, Lapa, São Paulo, SP","(-23.5204651, -46.7124705)"
6056,Rua João Pereira,Lapa,36,2,0,Apartamento,1500,1950,8980,323280,"Rua João Pereira, Lapa, São Paulo, SP","(-23.5210526, -46.7071617)"
6057,Rua Guaricanga,Lapa,80,2,0,Casa,2000,2187,8980,718400,"Rua Guaricanga, Lapa, São Paulo, SP","(-23.5226967, -46.7104326)"
6058,Rua Domingos Rodrigues,Lapa,72,3,1,Apartamento,7000,8295,8980,646560,"Rua Domingos Rodrigues, Lapa, São Paulo, SP","(-23.5218914, -46.7074774)"
6059,Rua Guaricanga,Lapa,60,1,1,Casa,2410,2512,8980,538800,"Rua Guaricanga, Lapa, São Paulo, SP","(-23.5226967, -46.7104326)"
6060,Rua Hugo D'antola,Lapa,64,2,1,Apartamento,1700,2343,8980,574720,"Rua Hugo D'antola, Lapa, São Paulo, SP","(-23.5105716, -46.7050997)"
6061,Praça Professor José Azevedo Antunes,Lapa,70,2,0,Apartamento,2000,2337,8980,628600,"Praça Professor José Azevedo Antunes, Lapa, São Paulo, SP","(-23.5242644, -46.70550298250724)"
6062,Rua João Pereira,Lapa,35,2,0,Apartamento,2500,2920,8980,314300,"Rua João Pereira, Lapa, São Paulo, SP","(-23.5210526, -46.7071617)"
6063,Rua Croata,Lapa,67,2,2,Apartamento,5330,6694,8980,601660,"Rua Croata, Lapa, São Paulo, SP","(-23.5309118, -46.7055128)"
6064,Rua Dom João V,Lapa,80,1,1,Apartamento,4500,5554,8980,718400,"Rua Dom João V, Lapa, São Paulo, SP","(-23.5196003, -46.7097057)"
6065,Rua Clemente Alvares,Lapa,100,2,1,Apartamento,2200,2759,8980,898000,"Rua Clemente Alvares, Lapa, São Paulo, SP","(-23.5208161, -46.7038726)"
6066,Estação da Lapa,Lapa,98,2,3,Apartamento,7500,9605,8980,880040,"Estação da Lapa, Lapa, São Paulo, SP","(-23.5212268, -46.69855717475728)"
6067,Rua Dronsfield,Lapa,254,1,0,Apartamento,3750,4296,8980,2280920,"Rua Dronsfield, Lapa, São Paulo, SP","(-23.5193997, -46.7038444)"
6068,Rua George Smith,Lapa,116,2,1,Apartamento,3750,4725,8980,1041680,"Rua George Smith, Lapa, São Paulo, SP","(-23.5178689, -46.7042944)"
6069,Rua Clemente Álvares,Lapa,40,1,0,Studio e kitnet,2000,2161,8980,359200,"Rua Clemente Álvares, Lapa, São Paulo, SP","(-23.519229, -46.7073789)"
6070,Rua Roma,Lapa,162,4,3,Apartamento,8000,11300,8980,1454760,"Rua Roma, Lapa, São Paulo, SP","(-23.5227938, -46.6990513)"
6071,Rua Roma,Lapa,166,3,3,Apartamento,11000,14550,8980,1490680,"Rua Roma, Lapa, São Paulo, SP","(-23.5227938, -46.6990513)"
6072,Rua Afonso Sardinha,Lapa,85,3,0,Casa,3520,3670,8980,763300,"Rua Afonso Sardinha, Lapa, São Paulo, SP","(-23.5223732, -46.7064932)"
6073,Rua Dom João V,Lapa,210,3,2,Apartamento,3940,6355,8980,1885800,"Rua Dom João V, Lapa, São Paulo, SP","(-23.5196003, -46.7097057)"
6074,Praça Professor José Azevedo Antunes,Lapa,75,2,0,Apartamento,2400,2753,8980,673500,"Praça Professor José Azevedo Antunes, Lapa, São Paulo, SP","(-23.5242644, -46.70550298250724)"
6075,Rua Duílio,Lapa,120,2,0,Casa,3280,3472,8980,1077600,"Rua Duílio, Lapa, São Paulo, SP","(-23.5250926, -46.6931536)"
6076,Praça Professor José Azevedo Antunes,Lapa,200,2,0,Apartamento,2500,3396,8980,1796000,"Praça Professor José Azevedo Antunes, Lapa, São Paulo, SP","(-23.5242644, -46.70550298250724)"
6077,Rua Corrientes,Lapa,220,4,3,Apartamento,5500,9812,8980,1975600,"Rua Corrientes, Lapa, São Paulo, SP","(-23.5220079, -46.7114387)"
6078,Rua Guaricanga,Lapa,88,1,1,Casa,3500,3648,8980,790240,"Rua Guaricanga, Lapa, São Paulo, SP","(-23.5226967, -46.7104326)"
6079,Rua Albion,Lapa,60,2,0,Casa,2450,2554,8980,538800,"Rua Albion, Lapa, São Paulo, SP","(-23.5238237, -46.7110664)"
6080,Rua João Tibiriçá,Lapa,390,4,4,Casa,10500,11530,8980,3502200,"Rua João Tibiriçá, Lapa, São Paulo, SP","(-23.5218211, -46.7169631)"
6081,Rua Brigadeiro Gavião Peixoto,Lapa,365,5,3,Casa,9500,13290,8980,3277700,"Rua Brigadeiro Gavião Peixoto, Lapa, São Paulo, SP","(-23.5257575, -46.7133649)"
6082,Rua Brigadeiro Gavião Peixoto,Lapa,312,5,3,Casa,10000,11190,8980,2801760,"Rua Brigadeiro Gavião Peixoto, Lapa, São Paulo, SP","(-23.5257575, -46.7133649)"
